uid,date,start_time,end_time,duration
u00,2023-01-01,2023-01-01 23:09:24,2023-01-02 06:57:08,7.795669625137142
u00,2023-01-02,2023-01-03 01:07:07,2023-01-03 08:01:26,6.905424993755828
u00,2023-01-03,2023-01-03 23:16:17,2023-01-04 06:00:27,6.735962082761572
u00,2023-01-04,2023-01-04 23:26:50,2023-01-05 10:37:43,11.181457386264858
u00,2023-01-05,2023-01-06 00:20:47,2023-01-06 08:15:15,7.907579459355211
u00,2023-01-06,2023-01-06 21:28:24,2023-01-07 03:03:19,5.581824414679058
u00,2023-01-07,2023-01-07 23:34:11,2023-01-08 06:52:27,7.3043236778607925
u00,2023-01-08,2023-01-08 23:29:20,2023-01-09 06:24:20,6.916794553739747
u00,2023-01-09,2023-01-09 22:11:49,2023-01-10 06:21:36,8.163009277273737
u00,2023-01-10,2023-01-10 23:10:31,2023-01-11 06:04:37,6.901512815641873
u00,2023-01-11,2023-01-12 03:34:37,2023-01-12 09:49:19,6.245030912241763
u00,2023-01-12,2023-01-13 01:55:20,2023-01-13 07:13:07,5.296434263696291
u00,2023-01-13,2023-01-14 01:08:28,2023-01-14 08:37:10,7.478448769620488
u00,2023-01-14,2023-01-14 23:10:24,2023-01-15 05:34:08,6.395621678958015
u00,2023-01-15,2023-01-15 20:14:09,2023-01-16 03:52:21,7.636623416839212
u00,2023-01-16,2023-01-16 22:30:19,2023-01-17 08:35:07,10.079895058491921
u00,2023-01-17,2023-01-18 01:01:08,2023-01-18 07:08:24,6.121158563020207
u00,2023-01-18,2023-01-18 22:24:19,2023-01-19 06:48:44,8.40695930070516
u00,2023-01-19,2023-01-20 00:08:46,2023-01-20 07:38:49,7.5008521506300445
u00,2023-01-20,2023-01-21 01:21:35,2023-01-21 09:09:33,7.799544035669916
u00,2023-01-21,2023-01-21 23:43:10,2023-01-22 06:29:24,6.770729719786892
u00,2023-01-22,2023-01-23 00:47:29,2023-01-23 10:22:47,9.58828741995286
u00,2023-01-23,2023-01-23 22:43:38,2023-01-24 05:01:03,6.290072150355406
u00,2023-01-24,2023-01-24 21:20:11,2023-01-25 05:00:54,7.678372578500449
u00,2023-01-25,2023-01-25 22:40:35,2023-01-26 07:38:34,8.966487437685538
u00,2023-01-26,2023-01-26 23:54:55,2023-01-27 04:37:25,4.708140972097354
u00,2023-01-27,2023-01-28 01:14:41,2023-01-28 09:03:28,7.813020152260918
u00,2023-01-28,2023-01-29 01:03:45,2023-01-29 07:56:15,6.875231133765001
u00,2023-01-29,2023-01-29 21:04:23,2023-01-30 02:21:57,5.292672763106605
u00,2023-01-30,2023-01-30 23:06:26,2023-01-31 05:37:13,6.513193056123136
u01,2023-01-01,2023-01-02 01:36:52,2023-01-02 04:36:52,3.0
u01,2023-01-02,2023-01-03 00:04:53,2023-01-03 06:39:59,6.5849141112278975
u01,2023-01-03,2023-01-04 00:10:29,2023-01-04 10:36:30,10.433744529972682
u01,2023-01-04,2023-01-04 23:32:52,2023-01-05 04:00:42,4.46397721072042
u01,2023-01-05,2023-01-05 22:47:09,2023-01-06 07:58:11,9.183909629983422
u01,2023-01-06,2023-01-06 23:18:22,2023-01-07 03:32:46,4.239986981297235
u01,2023-01-07,2023-01-08 03:04:00,2023-01-08 09:41:00,6.616757720200663
u01,2023-01-08,2023-01-08 22:36:36,2023-01-09 05:33:07,6.941982753129728
u01,2023-01-09,2023-01-09 22:38:28,2023-01-10 06:39:47,8.021790476826688
u01,2023-01-10,2023-01-10 23:35:36,2023-01-11 07:15:17,7.661553090300954
u01,2023-01-11,2023-01-11 21:36:27,2023-01-12 07:27:03,9.843183436495131
u01,2023-01-12,2023-01-12 22:11:10,2023-01-13 04:55:35,6.740240981718505
u01,2023-01-13,2023-01-13 22:16:29,2023-01-14 04:57:29,6.683095572635433
u01,2023-01-14,2023-01-15 01:09:50,2023-01-15 05:38:04,4.470525959593974
u01,2023-01-15,2023-01-16 00:34:43,2023-01-16 09:03:12,8.474674815803853
u01,2023-01-16,2023-01-16 22:38:50,2023-01-17 06:14:09,7.588708127630399
u01,2023-01-17,2023-01-18 02:15:22,2023-01-18 07:00:03,4.744849417877353
u01,2023-01-18,2023-01-19 00:34:58,2023-01-19 06:05:30,5.509084834343119
u01,2023-01-19,2023-01-19 23:48:10,2023-01-20 06:22:50,6.5777841530422565
u01,2023-01-20,2023-01-20 20:53:02,2023-01-21 02:01:20,5.138344702991466
u01,2023-01-21,2023-01-21 22:59:48,2023-01-22 04:01:52,5.034489476552853
u01,2023-01-22,2023-01-22 23:56:56,2023-01-23 06:36:36,6.661061545152436
u01,2023-01-23,2023-01-23 21:28:39,2023-01-24 03:44:21,6.261667474432765
u01,2023-01-24,2023-01-24 21:58:12,2023-01-25 03:15:32,5.289069532990878
u01,2023-01-25,2023-01-25 22:51:31,2023-01-26 05:17:57,6.4405070288941415
u01,2023-01-26,2023-01-26 23:35:17,2023-01-27 04:42:02,5.112575743877514
u01,2023-01-27,2023-01-27 21:26:21,2023-01-28 03:40:31,6.236278828881045
u01,2023-01-28,2023-01-28 23:41:55,2023-01-29 06:57:52,7.265934336164002
u01,2023-01-29,2023-01-29 23:27:37,2023-01-30 09:18:38,9.850416149786374
u01,2023-01-30,2023-01-30 23:47:26,2023-01-31 07:31:54,7.741014651079082
u02,2023-01-01,2023-01-01 23:19:57,2023-01-02 04:11:44,4.862921539322967
u02,2023-01-02,2023-01-02 22:56:44,2023-01-03 09:12:29,10.26243640840256
u02,2023-01-03,2023-01-04 00:23:45,2023-01-04 09:20:41,8.948973880853922
u02,2023-01-04,2023-01-04 22:44:03,2023-01-05 03:31:43,4.7945742211723035
u02,2023-01-05,2023-01-05 21:05:48,2023-01-06 04:37:39,7.530912051449096
u02,2023-01-06,2023-01-07 00:57:49,2023-01-07 08:15:37,7.296661529451801
u02,2023-01-07,2023-01-08 00:35:42,2023-01-08 07:10:18,6.576650783965014
u02,2023-01-08,2023-01-09 01:11:29,2023-01-09 10:04:08,8.877399916072108
u02,2023-01-09,2023-01-10 00:26:03,2023-01-10 05:25:47,4.99539113694955
u02,2023-01-10,2023-01-11 00:44:26,2023-01-11 08:49:54,8.090937391495602
