uid,date,type,answer
u00,2023-01-01,stress,2
u00,2023-01-02,stress,3
u00,2023-01-03,stress,1
u00,2023-01-04,stress,2
u00,2023-01-05,stress,3
u00,2023-01-06,stress,2
u00,2023-01-07,stress,2
u00,2023-01-08,stress,3
u00,2023-01-09,stress,1
u00,2023-01-10,stress,3
u00,2023-01-11,stress,3
u00,2023-01-12,stress,1
u00,2023-01-13,stress,3
u00,2023-01-14,stress,3
u00,2023-01-15,stress,3
u00,2023-01-16,stress,1
u00,2023-01-17,stress,1
u00,2023-01-18,stress,1
u00,2023-01-19,stress,1
u00,2023-01-20,stress,2
u00,2023-01-21,stress,1
u00,2023-01-22,stress,3
u00,2023-01-23,stress,2
u00,2023-01-24,stress,3
u00,2023-01-25,stress,1
u00,2023-01-26,stress,3
u00,2023-01-27,stress,3
u00,2023-01-28,stress,1
u00,2023-01-29,stress,3
u00,2023-01-30,stress,2
u01,2023-01-01,stress,2
u01,2023-01-02,stress,2
u01,2023-01-03,stress,3
u01,2023-01-04,stress,1
u01,2023-01-05,stress,2
u01,2023-01-06,stress,3
u01,2023-01-07,stress,1
u01,2023-01-08,stress,1
u01,2023-01-09,stress,1
u01,2023-01-10,stress,2
u01,2023-01-11,stress,1
u01,2023-01-12,stress,2
u01,2023-01-13,stress,1
u01,2023-01-14,stress,1
u01,2023-01-15,stress,2
u01,2023-01-16,stress,2
u01,2023-01-17,stress,3
u01,2023-01-18,stress,3
u01,2023-01-19,stress,2
u01,2023-01-20,stress,3
u01,2023-01-21,stress,1
u01,2023-01-22,stress,1
u01,2023-01-23,stress,3
u01,2023-01-24,stress,1
u01,2023-01-25,stress,1
u01,2023-01-26,stress,1
u01,2023-01-27,stress,1
u01,2023-01-28,stress,3
u01,2023-01-29,stress,3
u01,2023-01-30,stress,2
u02,2023-01-01,stress,1
u02,2023-01-02,stress,1
u02,2023-01-03,stress,2
u02,2023-01-04,stress,3
u02,2023-01-05,stress,2
u02,2023-01-06,stress,3
u02,2023-01-07,stress,3
u02,2023-01-08,stress,3
u02,2023-01-09,stress,2
u02,2023-01-10,stress,3
u02,2023-01-11,stress,3
u02,2023-01-12,stress,2
u02,2023-01-13,stress,1
u02,2023-01-14,stress,2
u02,2023-01-15,stress,2
u02,2023-01-16,stress,1
u02,2023-01-17,stress,2
u02,2023-01-18,stress,3
u02,2023-01-19,stress,2
u02,2023-01-20,stress,1
u02,2023-01-21,stress,3
u02,2023-01-22,stress,2
u02,2023-01-23,stress,3
u02,2023-01-24,stress,1
u02,2023-01-25,stress,1
u02,2023-01-26,stress,1
u02,2023-01-27,stress,3
u02,2023-01-28,stress,3
u02,2023-01-29,stress,3
u02,2023-01-30,stress,1
u03,2023-01-01,stress,1
u03,2023-01-02,stress,2
u03,2023-01-03,stress,1
u03,2023-01-04,stress,3
u03,2023-01-05,stress,1
u03,2023-01-06,stress,1
u03,2023-01-07,stress,2
u03,2023-01-08,stress,3
u03,2023-01-09,stress,2
u03,2023-01-10,stress,3
u03,2023-01-11,stress,2
u03,2023-01-12,stress,3
u03,2023-01-13,stress,1
u03,2023-01-14,stress,1
u03,2023-01-15,stress,2
u03,2023-01-16,stress,3
u03,2023-01-17,stress,3
u03,2023-01-18,stress,1
u03,2023-01-19,stress,2
u03,2023-01-20,stress,1
u03,2023-01-21,stress,3
u03,2023-01-22,stress,3
u03,2023-01-23,stress,3
u03,2023-01-24,stress,2
u03,2023-01-25,stress,2
u03,2023-01-26,stress,1
u03,2023-01-27,stress,1
u03,2023-01-28,stress,2
u03,2023-01-29,stress,1
u03,2023-01-30,stress,1
u04,2023-01-01,stress,2
u04,2023-01-02,stress,3
u04,2023-01-03,stress,1
u04,2023-01-04,stress,1
u04,2023-01-05,stress,2
u04,2023-01-06,stress,2
u04,2023-01-07,stress,2
u04,2023-01-08,stress,2
u04,2023-01-09,stress,3
u04,2023-01-10,stress,1
u04,2023-01-11,stress,3
u04,2023-01-12,stress,1
u04,2023-01-13,stress,3
u04,2023-01-14,stress,1
u04,2023-01-15,stress,3
u04,2023-01-16,stress,2
u04,2023-01-17,stress,3
u04,2023-01-18,stress,3
u04,2023-01-19,stress,3
u04,2023-01-20,stress,3
u04,2023-01-21,stress,2
u04,2023-01-22,stress,1
u04,2023-01-23,stress,1
u04,2023-01-24,stress,2
u04,2023-01-25,stress,1
u04,2023-01-26,stress,2
u04,2023-01-27,stress,1
u04,2023-01-28,stress,1
u04,2023-01-29,stress,3
u04,2023-01-30,stress,1
u05,2023-01-01,stress,2
u05,2023-01-02,stress,2
u05,2023-01-03,stress,2
u05,2023-01-04,stress,2
u05,2023-01-05,stress,3
u05,2023-01-06,stress,3
u05,2023-01-07,stress,3
u05,2023-01-08,stress,1
u05,2023-01-09,stress,3
u05,2023-01-10,stress,2
u05,2023-01-11,stress,3
u05,2023-01-12,stress,1
u05,2023-01-13,stress,1
u05,2023-01-14,stress,1
u05,2023-01-15,stress,1
u05,2023-01-16,stress,1
u05,2023-01-17,stress,2
u05,2023-01-18,stress,3
u05,2023-01-19,stress,1
u05,2023-01-20,stress,2
u05,2023-01-21,stress,2
u05,2023-01-22,stress,1
u05,2023-01-23,stress,2
u05,2023-01-24,stress,1
u05,2023-01-25,stress,1
u05,2023-01-26,stress,1
u05,2023-01-27,stress,1
u05,2023-01-28,stress,2
u05,2023-01-29,stress,3
u05,2023-01-30,stress,2
u06,2023-01-01,stress,3
u06,2023-01-02,stress,1
u06,2023-01-03,stress,1
u06,2023-01-04,stress,3
u06,2023-01-05,stress,2
u06,2023-01-06,stress,2
u06,2023-01-07,stress,3
u06,2023-01-08,stress,2
u06,2023-01-09,stress,1
u06,2023-01-10,stress,1
u06,2023-01-11,stress,1
u06,2023-01-12,stress,3
u06,2023-01-13,stress,2
u06,2023-01-14,stress,2
u06,2023-01-15,stress,3
u06,2023-01-16,stress,3
u06,2023-01-17,stress,1
u06,2023-01-18,stress,3
u06,2023-01-19,stress,2
u06,2023-01-20,stress,3
u06,2023-01-21,stress,2
u06,2023-01-22,stress,2
u06,2023-01-23,stress,2
u06,2023-01-24,stress,3
u06,2023-01-25,stress,2
u06,2023-01-26,stress,1
u06,2023-01-27,stress,1
u06,2023-01-28,stress,2
u06,2023-01-29,stress,3
u06,2023-01-30,stress,3
u07,2023-01-01,stress,2
u07,2023-01-02,stress,2
u07,2023-01-03,stress,1
u07,2023-01-04,stress,1
u07,2023-01-05,stress,3
u07,2023-01-06,stress,2
u07,2023-01-07,stress,2
u07,2023-01-08,stress,1
u07,2023-01-09,stress,3
u07,2023-01-10,stress,3
u07,2023-01-11,stress,2
u07,2023-01-12,stress,2
u07,2023-01-13,stress,1
u07,2023-01-14,stress,2
u07,2023-01-15,stress,1
u07,2023-01-16,stress,2
u07,2023-01-17,stress,3
u07,2023-01-18,stress,1
u07,2023-01-19,stress,3
u07,2023-01-20,stress,1
u07,2023-01-21,stress,3
u07,2023-01-22,stress,2
u07,2023-01-23,stress,3
u07,2023-01-24,stress,2
u07,2023-01-25,stress,1
u07,2023-01-26,stress,1
u07,2023-01-27,stress,3
u07,2023-01-28,stress,2
u07,2023-01-29,stress,1
u07,2023-01-30,stress,3
u08,2023-01-01,stress,2
u08,2023-01-02,stress,3
u08,2023-01-03,stress,1
u08,2023-01-04,stress,3
u08,2023-01-05,stress,3
u08,2023-01-06,stress,1
u08,2023-01-07,stress,2
u08,2023-01-08,stress,1
u08,2023-01-09,stress,3
u08,2023-01-10,stress,1
u08,2023-01-11,stress,2
u08,2023-01-12,stress,3
u08,2023-01-13,stress,1
u08,2023-01-14,stress,3
u08,2023-01-15,stress,3
u08,2023-01-16,stress,2
u08,2023-01-17,stress,3
u08,2023-01-18,stress,3
u08,2023-01-19,stress,2
u08,2023-01-20,stress,1
u08,2023-01-21,stress,2
u08,2023-01-22,stress,3
u08,2023-01-23,stress,1
u08,2023-01-24,stress,3
u08,2023-01-25,stress,3
u08,2023-01-26,stress,1
u08,2023-01-27,stress,3
u08,2023-01-28,stress,2
u08,2023-01-29,stress,3
u08,2023-01-30,stress,2
u09,2023-01-01,stress,3
u09,2023-01-02,stress,3
u09,2023-01-03,stress,3
u09,2023-01-04,stress,2
u09,2023-01-05,stress,3
u09,2023-01-06,stress,2
u09,2023-01-07,stress,3
u09,2023-01-08,stress,2
u09,2023-01-09,stress,1
u09,2023-01-10,stress,3
u09,2023-01-11,stress,1
u09,2023-01-12,stress,3
u09,2023-01-13,stress,2
u09,2023-01-14,stress,1
u09,2023-01-15,stress,1
u09,2023-01-16,stress,3
u09,2023-01-17,stress,1
u09,2023-01-18,stress,2
u09,2023-01-19,stress,3
u09,2023-01-20,stress,3
u09,2023-01-21,stress,2
u09,2023-01-22,stress,1
u09,2023-01-23,stress,3
u09,2023-01-24,stress,2
u09,2023-01-25,stress,2
u09,2023-01-26,stress,3
u09,2023-01-27,stress,2
u09,2023-01-28,stress,3
u09,2023-01-29,stress,1
u09,2023-01-30,stress,2
u10,2023-01-01,stress,3
u10,2023-01-02,stress,3
u10,2023-01-03,stress,2
u10,2023-01-04,stress,2
u10,2023-01-05,stress,2
u10,2023-01-06,stress,2
u10,2023-01-07,stress,2
u10,2023-01-08,stress,3
u10,2023-01-09,stress,1
u10,2023-01-10,stress,3
u10,2023-01-11,stress,1
u10,2023-01-12,stress,2
u10,2023-01-13,stress,3
u10,2023-01-14,stress,2
u10,2023-01-15,stress,2
u10,2023-01-16,stress,2
u10,2023-01-17,stress,3
u10,2023-01-18,stress,1
u10,2023-01-19,stress,2
u10,2023-01-20,stress,2
u10,2023-01-21,stress,3
u10,2023-01-22,stress,1
u10,2023-01-23,stress,1
u10,2023-01-24,stress,1
u10,2023-01-25,stress,3
u10,2023-01-26,stress,3
u10,2023-01-27,stress,2
u10,2023-01-28,stress,2
u10,2023-01-29,stress,1
u10,2023-01-30,stress,1
u11,2023-01-01,stress,2
u11,2023-01-02,stress,1
u11,2023-01-03,stress,3
u11,2023-01-04,stress,3
u11,2023-01-05,stress,2
u11,2023-01-06,stress,3
u11,2023-01-07,stress,3
u11,2023-01-08,stress,3
u11,2023-01-09,stress,3
u11,2023-01-10,stress,1
u11,2023-01-11,stress,2
u11,2023-01-12,stress,1
